mic_id,strain_report_key,drug_name,mic,mic_units,method,reported_as,notes
Ha15-1,AE7570_Hauser2015,ceftriaxone,0.023,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-2,AE4615_Hauser2015,ceftriaxone,0.004,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-3,AE6772_Hauser2015,ceftriaxone,0.002,"\mu g/mL",Etest/susceptibility,"\leq 0.002","From Hauser2015 Table 1."
Ha15-4,AE2655_Hauser2015,ceftriaxone,0.023,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-5,AE9562_Hauser2015,ceftriaxone,0.023,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-6,ATCC49226_Hauser2015,ceftriaxone,0.016,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-7,AZTHRL_Hauser2015,ceftriaxone,0.064,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Ha15-8,F89_Hauser2015,ceftriaxone,1.5,"\mu g/mL",Etest/susceptibility,,"From Hauser2015 Table 1."
Fo15-1,WHOF_Foerster2015,ceftriaxone,0.002,"\mu g/mL",Etest/susceptibility,"< 0.002","From Foerster2015 Table 1."
Fo15-2,WHOO_Foerster2015,ceftriaxone,0.032,"\mu g/mL",Etest/susceptibility,,"From Foerster2015 Table 1."
Fo15-3,WHOP_Foerster2015,ceftriaxone,0.032,"\mu g/mL",Etest/susceptibility,,"From Foerster2015 Table 1."
Fo15-4,H041_Foerster2015,ceftriaxone,4.0,"\mu g/mL",Etest/susceptibility,,"From Foerster2015 Table 1."
Fo16-1,DG666_Foerster2016,ceftriaxone,0.002,"\mu g/mL",Etest/susceptibility,"< 0.002","From Foerster2016 Table 1."
Fo15-5,OM5_Foerster2015,ceftriaxone,0.032,"\mu g/mL",Etest/susceptibility,,"From Foerster2015 Supplementary Table 2."
Fo15-6,PM4_Foerster2015,ceftriaxone,0.004,"\mu g/mL",Etest/susceptibility,,"From Foerster2015 Supplementary Table 2."
Ha15-9,AE7570_Hauser2015,ceftriaxone,0.008,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-10,AE4615_Hauser2015,ceftriaxone,0.004,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-11,AE6772_Hauser2015,ceftriaxone,0.002,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-12,AE2655_Hauser2015,ceftriaxone,0.008,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-13,AE9562_Hauser2015,ceftriaxone,0.008,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-14,ATCC49226_Hauser2015,ceftriaxone,0.008,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-15,AZTHRL_Hauser2015,ceftriaxone,0.016,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Ha15-16,F89_Hauser2015,ceftriaxone,0.5,"\mu g/mL","Broth microdilution",,"From Hauser2015 Table 1."
Gu22-1,WHOF_Gubensek2022,ceftriaxone,0.002,"\mu g/mL",Etest/susceptibility,"< 0.002","From Gubensek2022 Table 1."
Gu22-2,WHOX_Gubensek2022,ceftriaxone,1.5,"\mu g/mL",Etest/susceptibility,,"From Gubensek2022 Table 1."
Gu22-3,CS03307_Gubensek2022,ceftriaxone,0.012,"\mu g/mL",Etest/susceptibility,,"From Gubensek2022 Table 1."
Gu23-1,SRRSH240_Gu2023,ceftriaxone,1.0,mg/L,,,"From Gu2023 Figure 2."
Gu23-2,ATCC49226_Gu2023,ceftriaxone,0.016,mg/L,,,"From Gu2023 Figure 2."
Un24-1,WHOF_Unemo2024,ceftriaxone,0.002,"\mu g/mL",Etest/susceptibility,"< 0.002","From Unemo2024 table 1."
Un24-2,WHOX_Unemo2024,ceftriaxone,2.0,"\mu g/mL",Etest/susceptibility,,"From Unemo2024 table 1."
Un24-3,WHOR_Unemo2024,ceftriaxone,0.5,"\mu g/mL",Etest/susceptibility,,"From Unemo2024 table 1."
Un24-4,WHOZ_Unemo2024,ceftriaxone,0.5,"\mu g/mL",Etest/susceptibility,,"From Unemo2024 table 1."
Un24-5,WHOF_Unemo2024,ceftriaxone,0.004,"\mu g/mL","Broth microdilution",,"From Unemo2024 table 1."
Un24-6,WHOX_Unemo2024,ceftriaxone,1.0,"\mu g/mL","Broth microdilution",,"From Unemo2024 table 1."
Un24-7,WHOR_Unemo2024,ceftriaxone,0.5,"\mu g/mL","Broth microdilution",,"From Unemo2024 table 1."
Un24-8,WHOZ_Unemo2024,ceftriaxone,0.5,"\mu g/mL","Broth microdilution",,"From Unemo2024 table 1."
