strain_report_key,drug_name,psi_min,psi_max,n,zMIC,fit_reported,fit_by_LC,fit_method_text,objective,weighting,notes
F89_Hauser2015,ceftriaxone,-5.07,0.29,1.36,0.34,0,1,,,,"Fit using data points digitized from Hauser2015 Figure 2 (bottom left panel)"
H041_Foerster2015,ceftriaxone,-2.58,0.76,1.16,0.63,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
WHOF_Foerster2015,ceftriaxone,-2.17,1.36,0.73,0.00028,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
WHOO_Foerster2015,ceftriaxone,-5.4,1.34,0.35,0.0018,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
WHOP_Foerster2015,ceftriaxone,-1.39,0.7,1.28,0.00045,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
PM4_Foerster2015,ceftriaxone,-2.5,1.33,0.5,6.3e-05,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
OM5_Foerster2015,ceftriaxone,-0.92,0.5,1.86,0.00063,1,0,,,,"Parameter values taken directly from Foerster2015 Table S1"
DG666_Foerster2016,ceftriaxone,-0.6,0.75,1.65,0.0003,1,0,,,,"Parameter values taken directly from Foerster2016 Table 1"
WHOF_Gubensek2022,ceftriaxone,-2.0,0.79,0.78,0.00012,1,0,,,,"Parameter values taken directly from Gubensek2022 Table 1"
WHOX_Gubensek2022,ceftriaxone,-0.76,0.54,1.7,0.42,1,0,,,,"Parameter values taken directly from Gubensek2022 Table 1"
CS03307_Gubensek2022,ceftriaxone,-0.84,0.59,3.94,0.0029,1,0,,,,"Parameter values taken directly from Gubensek2022 Table 1"
ATCC49226_Gu2023,ceftriaxone,-3.87,0.44,5.22,0.0046,0,1,,,,"Fit using data points digitized from Gu2023 Figure 2C and 3C"
SRRSH240_Gu2023,ceftriaxone,-4.29,0.74,4.75,0.34,0,1,,,,"Fit using data points digitized from Gu2023 Figure 2D and 3D"
